weblink,date,status,type_description
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/13/2011,PASSED,VENT ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/05/2011,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/22/2011,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/12/2011,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/12/2011,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/04/2010,PASSED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,09/09/2010,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,09/09/2010,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,09/02/2010,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/30/2010,FAILED,CONSERVATION COMPLAINT INSPECT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/15/2010,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/11/2010,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/29/2009,PASSED,PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/21/2009,PASSED,VENT ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/27/2009,CLOSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/25/2009,PASSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/25/2009,PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/25/2009,PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/25/2009,PASSED,DOB NEW CONSTRUCTION INSP
